차아,75,191
다파,71,164
차나,74,160
자타,71,142
차하,94,171
차가,80,180
가차,97,199
가라,65,192
아차,93,193
마다,54,193
하라,89,141
가다,46,196
바사,60,166
카아,59,184
차타,58,146
파마,77,163
타자,57,175
하바,66,161
카파,42,172
하타,75,160
가자,41,140
타다,78,177
바타,73,194
마파,89,173
차나,69,142
라차,65,183
가라,81,196
자바,78,159
하차,69,173
다다,55,143
하마,76,187
차아,82,177
바다,87,189
차차,58,190
파하,62,187
사카,45,152
아사,95,192
다차,73,143
아차,90,140
차파,55,141
카차,62,150
사아,59,163
아차,51,148
마카,54,177
마바,97,169
차사,70,154
자다,83,167
라파,91,186
파차,97,172
자다,76,174
자파,73,193
가마,54,185
하카,65,141
아아,84,172
차차,52,192
가자,54,173
파차,92,177
아자,85,164
차타,40,179
하라,97,174
다라,97,167
마마,86,150
아하,67,188
자나,74,154
자카,83,186
사파,91,182
다카,54,155
라마,72,160
차하,59,184
라라,80,176
하다,82,148
라타,42,194
사아,83,185
나다,75,192
다라,82,153
파아,58,154
자사,67,172
아다,78,196
마차,84,178
다마,48,180
타차,52,144
나파,84,183
바나,96,195
하사,62,195
바자,65,172
마카,76,186
타자,84,147
나나,99,189
사가,83,149
파차,60,199
타타,58,152
차다,55,169
가자,75,181
사차,90,193
사사,94,191
타바,96,192
카하,77,191
라가,94,199
사라,55,180
나나,91,144
마다,47,145
자바,86,172
차하,66,169
자카,99,175
다하,68,165
다다,81,172
바마,44,177
파파,82,189
파다,47,145
카다,72,192
하사,57,173
가파,54,163
파카,85,154
가다,66,152
다차,64,184
타사,72,140
가카,97,194
파카,95,188
사사,83,180
다마,64,197
마라,66,191
사라,46,150
가사,62,158
가하,96,175
타바,45,143
나마,73,156
나바,82,196
차타,49,140
바하,53,183
자카,48,193
아파,51,143
사자,67,142
다타,93,141
하타,80,161
마다,76,165
타라,64,173
아다,65,147
바자,53,156
아바,72,157
사하,89,162
파자,88,167
자차,79,178
사나,88,184
파카,84,187
하아,95,198
바타,76,179
라카,60,161
나다,53,171
자라,64,152
가타,49,179
마나,78,192
자자,75,174
나아,88,197
타마,81,167
차파,42,165
라자,45,156
다카,42,140
가아,86,172
바아,68,145
파나,46,154
하아,43,184
마카,79,156
바다,75,151
타타,90,151
하라,61,194
카라,43,174
아나,60,190
다아,95,149
자나,46,169
가바,69,179
사바,75,198
차가,71,195
하파,52,184
하바,89,199
